Name,Salary
Aaron Brooks,"$2,116,955"
Aaron Gordon,"$5,504,419"
Aaron Harrison,"$174,570"
Aaron Jackson,"$46,079"
Abdel Nader,"$1,167,333"
Adreian Payne,"$77,250"
AJ Hammons,"$1,312,611"
Al Horford,"$27,734,405"
Al Jefferson,"$9,769,821"
Al-Farouq Aminu,"$7,319,035"
Alan Williams,"$6,000,000"
Alec Burks,"$10,845,506"
Alec Peters,"$77,250"
Alex Abrines,"$5,725,000"
Alex Caruso,"$77,250"
Alex Len,"$4,187,599"
Alex Poythress,"$778,668"
Alexis Ajinca,"$4,961,798"
Alfonzo McKinnie,"$815,615"
Allen Crabbe,"$18,500,000"
Amile Jefferson,"$77,250"
Amir Johnson,"$11,000,000"
Andre Drummond,"$23,775,506"
Andre Iguodala,"$14,814,815"
Andre Ingram,"$46,079"
Andre Roberson,"$9,259,260"
Andrew Bogut,"$1,078,810"
Andrew Harrison,"$1,312,611"
Andrew Nicholson,"$2,844,429"
Andrew White,"$77,250"
Andrew Wiggins,"$7,574,322"
Ante Zizic,"$1,645,200"
Anthony Brown,"$77,250"
Anthony Davis,"$23,775,506"
Anthony Tolliver,"$5,290,000"
Antonio Blakeney,"$77,250"
Antonius Cleveland,"$384,116"
Aron Baynes,"$4,300,000"
Arron Afflalo,"$5,328,652"
Austin Rivers,"$11,825,000"
Avery Bradley,"$8,808,989"
Bam Adebayo,"$2,490,360"
Ben McLemore,"$5,200,000"
Ben Moore,"$77,250"
Ben Simmons,"$6,168,840"
Bismack Biyombo,"$17,000,000"
Blake Griffin,"$29,512,900"
Boban Marjanovic,"$5,881,260"
Bobby Brown,"$1,231,500"
Bobby Portis,"$1,516,320"
Bogdan Bogdanovic,"$9,470,614"
Bojan Bogdanovic,"$10,500,000"
Bradley Beal,"$23,775,506"
Brandan Wright,"$5,955,760"
Brandon Ingram,"$5,519,400"
Brandon Jennings,"$380,830"
Brandon Knight,"$13,618,750"
Brandon Paul,"$815,615"
Brandon Rush,"$119,601"
Briante Weber,"$160,378"
Brice Johnson,"$1,331,160"
Bronson Koenig,"$50,000"
Brook Lopez,"$22,642,350"
Bruno Caboclo,"$2,451,224"
Bryn Forbes,"$1,312,611"
Buddy Hield,"$3,675,480"
Caleb Swanigan,"$1,465,920"
Cameron Oliver,"$300,000"
Cameron Payne,"$2,203,440"
Caris LeVert,"$1,632,480"
Carmelo Anthony,"$26,243,760"
Carrick Felix,"$140,901"
Cedi Osman,"$2,642,857"
Chandler Parsons,"$23,112,004"
Channing Frye,"$7,420,912"
Charles Cooke,"$77,250"
Chasson Randle,"$1,312,611"
Cheick Diallo,"$1,312,611"
Chinanu Onuaku,"$1,312,611"
Chris Bosh,"$25,289,390"
Chris Boucher,"$77,250"
Chris McCullough,"$1,471,382"
Chris Paul,"$24,268,959"
CJ Fair,"$82,943"
CJ McCollum,"$23,962,573"
CJ Miles,"$7,936,509"
CJ Watson,"$1,000,000"
CJ Wilcox,"$77,250"
CJ Williams,"$77,250"
Clint Capela,"$2,334,528"
Cody Zeller,"$12,584,270"
Cole Aldrich,"$7,300,000"
Corey Brewer,"$8,105,615"
Cory Joseph,"$7,630,000"
Courtney Lee,"$11,747,890"
Cristiano Felicio,"$7,843,500"
D'Angelo Russell,"$5,562,360"
Dakari Johnson,"$815,615"
Damian Jones,"$1,312,611"
Damian Lillard,"$26,153,057"
Damien Wilkins,"$992,696"
Damion Lee,"$138,239"
Damyean Dotson,"$1,100,000"
Daniel Hamilton,"$77,250"
Daniel Ochefu,"$50,000"
Daniel Theis,"$815,615"
Danilo Gallinari,"$20,559,599"
Danny Green,"$10,000,000"
Dante Cunningham,"$2,300,000"
Dante Exum,"$4,992,385"
Danuel House,"$77,250"
Dario Saric,"$2,422,560"
Darius Miller,"$2,100,000"
Darrell Arthur,"$7,464,912"
Darren Collison,"$10,000,000"
Darrun Hilliard,"$77,250"
David Nwaba,"$1,312,611"
David Stockton,"$192,812"
David West,"$2,328,652"
Davis Bertans,"$1,312,611"
Davon Reed,"$815,615"
De'Aaron Fox,"$4,609,200"
DeAndre Bembry,"$1,567,200"
DeAndre Jordan,"$22,642,350"
DeAndre Liggins,"$1,505,942"
Dejounte Murray,"$1,312,611"
Delon Wright,"$1,645,200"
DeMar DeRozan,"$27,739,975"
DeMarcus Cousins,"$18,063,850"
DeMarre Carroll,"$14,800,000"
Demetrius Jackson,"$319,266"
Dennis Schroeder,"$15,500,000"
Dennis Smith,"$3,218,280"
Denzel Valentine,"$2,186,400"
Deron Williams,"$5,474,787"
Derrick Favors,"$12,000,000"
Derrick Jones,"$462,875"
Derrick Rose,"$2,533,488"
Derrick Walton,"$77,250"
Derrick White,"$1,404,600"
Derrick Williams,"$104,059"
Devin Booker,"$2,319,360"
Devin Harris,"$4,402,546"
Devin Robinson,"$77,250"
Dewayne Dedmon,"$6,900,000"
Deyonta Davis,"$1,312,611"
Diamond Stone,"$1,312,611"
Dillon Brooks,"$815,615"
Dion Waiters,"$12,100,000"
Dirk Nowitzki,"$5,000,000"
DJ Augustin,"$7,250,000"
DJ Wilson,"$2,135,040"
Domantas Sabonis,"$2,550,000"
Donovan Mitchell,"$2,621,280"
Dorian Finney-Smith,"$1,312,611"
Doug McDermott,"$3,294,994"
Dragan Bender,"$4,468,800"
Draymond Green,"$16,400,000"
Dwayne Bacon,"$815,615"
Dwight Buycks,"$748,160"
Dwight Howard,"$23,500,000"
Dwight Powell,"$9,003,125"
Dwyane Wade,"$17,878,652"
E'Twaun Moore,"$8,445,024"
Ed Davis,"$6,352,531"
Edmond Sumner,"$77,250"
Ekpe Udoh,"$3,200,000"
Elfrid Payton,"$3,332,340"
Emeka Okafor,"$813,293"
Emmanuel Mudiay,"$3,381,480"
Enes Kanter,"$17,884,176"
Eric Bledsoe,"$14,500,000"
Eric Gordon,"$12,943,020"
Eric Griffin,"$77,250"
Eric Moreland,"$1,740,000"
Erik McCree,"$77,250"
Ersan Ilyasova,"$6,514,288"
Evan Fournier,"$17,000,000"
Evan Turner,"$17,131,148"
Festus Ezeli,"$1,000,000"
Frank Jackson,"$815,615"
Frank Kaminsky,"$2,847,600"
Frank Mason,"$1,184,385"
Frank Ntilikina,"$3,501,120"
Fred VanVleet,"$1,312,611"
Furkan Korkmaz,"$1,465,920"
Garrett Temple,"$8,000,000"
Gary Harris,"$2,550,055"
Gary Payton II,"$154,500"
George Hill,"$20,000,000"
Georges Niang,"$177,250"
Georgios Papagiannis,"$2,486,757"
Gerald Green,"$1,381,403"
Gerald Henderson,"$1,000,000"
Gian Clavell,"$77,250"
Giannis Antetokounmpo,"$22,471,911"
Glenn Robinson III,"$1,524,305"
Goran Dragic,"$17,000,450"
Gordon Hayward,"$29,727,900"
Gorgui Dieng,"$14,112,360"
Greg Monroe,"$21,384,175"
Guerschon Yabusele,"$2,247,480"
Harrison Barnes,"$23,112,004"
Harry Giles,"$1,859,400"
Hassan Whiteside,"$23,775,506"
Henry Ellenson,"$1,780,800"
Ian Clark,"$1,577,230"
Ian Mahinmi,"$16,000,000"
Ike Anigbogu,"$950,000"
Iman Shumpert,"$10,337,079"
Isaiah Canaan,"$1,113,863"
