Aaron Brooks,2250000
Aaron Gordon,4171680
Aaron Gray,1356146
Aaron Harrison,525093
Adreian Payne,1938840
Al Horford,12000000
Al Jefferson,13500000
Al-Farouq Aminu,8042895
Alan Anderson,4000000
Alan Williams,114284
Alec Burks,9213484
Alex Len,3807120
Alex Stepheson,92662
Alexis Ajinca,4539607
Allen Crabbe,947276
Alonzo Gee,1320000
Amare Stoudemire,1499187
Amir Johnson,12000000
Anderson Varejao,10158574
Andre Drummond,3272090
Andre Iguodala,11710456
Andre Miller,1490369
Andre Roberson,1210800
Andrea Bargnani,1362897
Andrew Bogut,12000000
Andrew Goudelock,200600
Andrew Nicholson,2380593
Andrew Wiggins,5758680
Anthony Bennett,4597276
Anthony Brown,525093
Anthony Davis,7070730
Anthony Morrow,3344000
Anthony Tolliver,3000000
Archie Goodwin,1160160
Aron Baynes,6500000
Arron Afflalo,8000000
Austin Rivers,3110796
Avery Bradley,7730337
Axel Toupane,61775
Ben McLemore,3156600
Beno Udrih,2080465
Bismack Biyombo,2814000
Blake Griffin,18862876
Boban Marjanovic,1200000
Bobby Portis,1344120
Bojan Bogdanovic,3425510
Boris Diaw,7500000
Bradley Beal,5694673
Brandan Wright,5464000
Branden Dawson,525093
Brandon Bass,3000000
Brandon Jennings,8344497
Brandon Knight,13500000
Brandon Rush,1270964
Brian Roberts,2854940
Briante Weber,61774
Brook Lopez,19689000
Bruno Caboclo,1524000
Bryce Cotton,99418
Bryce Dejean-Jones,61775
Cameron Bairstow,845059
Cameron Payne,2021520
Carl Landry,6750000
Carmelo Anthony,22875000
Caron Butler,1499187
Cartier Martin,1270964
Chandler Parsons,15361500
Channing Frye,8193029
Charlie Villanueva,1499187
Chase Budinger,5258082
Chris Andersen,5000000
Chris Bosh,22192730
Chris Copeland,1150000
Chris Kaman,5000000
Chris McCullough,1140240
Chris Paul,21468695
Christapher Johnson,981348
Christian Wood,339762
Chuck Hayes,70549
CJ McCollum,2525160
CJ Miles,4394225
CJ Watson,5000000
CJ Wilcox,1159680
Cleanthony Early,845059
Cliff Alexander,525093
Clint Capela,1242720
Cody Zeller,4204200
Cole Aldrich,1100602
Corey Brewer,8229375
Cory Jefferson,362878
Cory Joseph,7000000
Coty Clarke,61774
Courtney Lee,5675000
Cristiano Felicio,525093
D'Angelo Russell,5103120
Damian Lillard,4236286
Damien Inglis,855000
Damjan Rudez,1149500
Danilo Gallinari,14000000
Danny Granger,2100000
Danny Green,10000000
Dante Cunningham,2850000
Dante Exum,3777720
Darrell Arthur,2814000
Darren Collison,5013559
Darrun Hilliard,600000
David Lee,17120776
David West,1499187
DeAndre Jordan,19689000
DeJuan Blair,2000000
Delon Wright,1509360
DeMar DeRozan,9500000
DeMarcus Cousins,14728844
DeMarre Carroll,13600000
Dennis Schroeder,1763400
Deron Williams,10853761
Derrick Favors,12000000
Derrick Rose,20093064
Derrick Williams,4400000
Devin Booker,2055840
Devin Harris,4053446
Devyn Marble,845059
Dewayne Dedmon,947276
Dion Waiters,5138430
Dirk Nowitzki,8333333
DJ Augustin,3000000
Donald Sloan,1015421
Dorell Wright,17637
Doug McDermott,2380440
Draymond Green,14260870
Drew Gooden,3300000
Duje Dukan,525093
Dwight Howard,22359364
Dwight Powell,845059
Dwyane Wade,20000000
E'Twaun Moore,1015421
Ed Davis,6980802
Elfrid Payton,2505720
Elijah Millsap,352936
Elliot Williams,57726
Elton Brand,890693
Emmanuel Mudiay,3102240
Enes Kanter,16407500
Eric Bledsoe,13500000
Eric Gordon,15514031
Eric Moreland,845059
Erick Green,199418
Ersan Ilyasova,7900000
Evan Fournier,2288204
Evan Turner,3425510
Festus Ezeli,2008748
Frank Kaminsky,2612520
Furkan Aldemir,2683841
Gal Mekel,947276
Garrett Temple,1100602
Gary Harris,1587480
Gary Neal,2139000
George Hill,8000000
Gerald Green,1362897
Gerald Henderson,6000000
Gerald Wallace,10105855
Giannis Antetokounmpo,1953960
Glenn Robinson III,1100000
Goran Dragic,14783000
Gordon Hayward,15409570
Gorgui Dieng,1474440
Greg Monroe,16407500
Greg Smith,197111
Greivis Vasquez,6600000
Harrison Barnes,3873398
Hassan Whiteside,981348
Henry Sims,161633
Hollis Thompson,947276
Ian Clark,947276
Ian Mahinmi,4000000
Iman Shumpert,8988765
Isaiah Canaan,947276
Isaiah Thomas,6912869
Ishmael Smith,1100602
Jabari Parker,5152440
Jae Crowder,6796117
Jahlil Okafor,4582680
JaKarr Sampson,1103547
Jamal Crawford,5675000
Jameer Nelson,4345000
James Anderson,1015421
James Ennis,944477
James Harden,15719062
James Johnson,2500000
James Jones,1499187
James Michael McAdoo,845059
James Young,1749840
JaMychal Green,845059
Jared Cunningham,1039074
Jared Dudley,4250000
Jared Sullinger,2269260
Jarell Eddie,349032
Jarell Martin,1230840
Jarnell Stokes,845059
Jarrett Jack,6300000
Jason Smith,4300000
Jason Terry,1499187
Jason Thompson,6752729
JaVale McGee,13270964
Jeff Ayres,251890
Jeff Green,9200000
Jeff Teague,8000000
Jeff Withey,947276
Jerami Grant,845059
Jeremy Evans,1185784
Jeremy Lamb,3034356
Jeremy Lin,2139000
Jerian Grant,1572360
Jerryd Bayless,3000000
Jimmer Fredette,625167
Jimmy Butler,16407500
JJ Hickson,5583413
JJ O'Brien,30887
JJ Redick,7085000
Joakim Noah,13400000
Jodie Meeks,6270000
Joe Harris,845059
