Aaron Brooks,2700000
Aaron Gordon,4351320
Aaron Harrison,365289
Adreian Payne,2022240
AJ Hammons,650000
Al Horford,26540100
Al Jefferson,10230179
Al-Farouq Aminu,7680965
Alan Anderson,1315448
Alan Williams,874636
Alec Burks,9904495
Alex Abrines,5994764
Alex Caruso,50000
Alex Len,4823621
Alex Poythress,73743
Alexis Ajinca,4863206
Allen Crabbe,18500000
Alonzo Gee,2255408
Amir Johnson,12000000
Anderson Varejao,10851659
Andre Drummond,22116750
Andre Iguodala,11131368
Andre Roberson,2183072
Andrew Bogut,11410378
Andrew Harrison,945000
Andrew Nicholson,6088993
Andrew Wiggins,6006600
Anthony Barber,50000
Anthony Bennett,1015696
Anthony Brown,1023838
Anthony Davis,22116750
Anthony Morrow,3488000
Anthony Tolliver,8000000
Archie Goodwin,2350999
Arinze Onuaku,426775
Aron Baynes,6500000
Arron Afflalo,12500000
Austin Rivers,11000000
Avery Bradley,8269663
Axel Toupane,977534
Beau Beech,45000
Ben Bentil,281968
Ben McLemore,4008882
Ben Simmons,5903160
Beno Udrih,980431
Bismack Biyombo,17000000
Blake Griffin,20093064
Boban Marjanovic,5628000
Bobby Brown,940070
Bobby Portis,1404600
Bojan Bogdanovic,3573020
Boris Diaw,7000000
Bradley Beal,22116750
Brady Heslip,56500
Brandan Wright,5709880
Brandon Bass,1551659
Brandon Ingram,5281680
Brandon Jennings,5587318
Brandon Knight,12606250
Brandon Paul,155000
Brandon Rush,3500000
Brian Roberts,1050961
Briante Weber,623447
Brice Johnson,1273920
Brook Lopez,21165675
Bruno Caboclo,1589640
Bryn Forbes,543471
Buddy Hield,3517200
Cameron Payne,2112480
Caris LeVert,1562280
Carl Landry,6750000
Carmelo Anthony,24559380
Caron Butler,1551659
Chandler Parsons,22116750
Channing Frye,7806971
Chasson Randle,541170
Cheick Diallo,543471
Chinanu Onuaku,543471
Chris Andersen,1551659
Chris Bosh,23741060
Chris McCullough,1191480
Chris Paul,22868827
Christian Wood,874636
CJ McCollum,3219579
CJ Miles,4583450
CJ Watson,5000000
CJ Wilcox,1209600
Clint Capela,1296240
Cody Zeller,5318313
Cole Aldrich,7643979
Corey Brewer,7612172
Cory Joseph,7315000
Courtney Lee,11242000
Cristiano Felicio,874636
D'Angelo Russell,5332800
Dahntay Jones,24022
Damian Jones,1171560
Damian Lillard,24328425
Damion Lee,50000
Damjan Rudez,980431
Daniel Ochefu,543471
Danilo Gallinari,15050000
Danny Green,10000000
Dante Cunningham,3000000
Dante Exum,3940320
Danuel House,543471
Dario Saric,2318280
Darrell Arthur,8070175
Darren Collison,5229454
Darrun Hilliard,874636
David Lee,1551659
David Nwaba,73528
David West,1551659
Davis Bertans,543471
DeAndre Bembry,1499760
DeAndre Jordan,21165675
DeAndre Liggins,1015695
Dejounte Murray,1180080
Delon Wright,1577280
DeMar DeRozan,26540100
DeMarcus Cousins,15756438
DeMarre Carroll,14200000
Demetrius Jackson,1450000
Dennis Schroeder,2708582
Denzel Valentine,2092200
Deron Williams,14885520
Derrick Favors,11050000
Derrick Jones,543471
Derrick Rose,21323252
Derrick Williams,5020145
Devin Booker,2223600
Devin Harris,4227996
Dewayne Dedmon,2898000
Deyonta Davis,1369229
Diamond Stone,543471
Dion Waiters,2898000
Dionte Christmas,50000
Dirk Nowitzki,25000000
DJ Augustin,7250000
DJ Kennedy,50000
Domantas Sabonis,2440200
Donatas Motiejunas,607491
Dorian Finney-Smith,543471
Doug McDermott,2483040
Dragan Bender,4276320
Draymond Green,15330435
Dwight Howard,23500000
Dwight Powell,8375000
Dwyane Wade,23200000
E'Twaun Moore,8801363
Ed Davis,6666667
Egidijus Mockevicius,100000
EJ Singler,50000
Elfrid Payton,2613600
Elgin Cook,50000
Elliot Williams,250000
Elton Brand,980000
Emmanuel Mudiay,3241800
Enes Kanter,17145838
Eric Bledsoe,14000000
Eric Gordon,12385665
Ersan Ilyasova,8400000
Evan Fournier,17000000
Evan Turner,16393443
Festus Ezeli,7400000
Frank Kaminsky,2730000
Fred VanVleet,543471
Garrett Temple,8000000
Gary Harris,1655880
Gary Neal,72193
Gary Payton II,578636
George Hill,8000000
Georges Niang,650000
Georgios Papagiannis,2202240
Gerald Green,1410598
Gerald Henderson,9000000
Giannis Antetokounmpo,2995420
Glenn Robinson III,1050500
Goran Dragic,15891725
Gordon Hayward,16073140
Gorgui Dieng,2348782
Greg Monroe,17145838
Greivis Vasquez,4347826
Harrison Barnes,22116750
Hassan Whiteside,22116750
Henry Ellenson,1704120
Henry Sims,75000
Hollis Thompson,1131040
Ian Clark,1015696
Ian Mahinmi,16000000
Iman Shumpert,9662922
Isaiah Canaan,1015696
Isaiah Cousins,100000
Isaiah Taylor,305000
Isaiah Thomas,6587131
Isaiah Whitehead,1074145
Ishmael Smith,6000000
Ivica Zubac,1034865
Jabari Parker,5374320
Jae Crowder,6286408
Jahlil Okafor,4788840
Jake Layman,600000
Jakob Poeltl,2703960
Jalen Jones,25000
Jamal Crawford,13253012
Jamal Murray,3210840
Jameer Nelson,4540525
James Ennis,2898000
James Harden,26540100
James Johnson,4000000
James Jones,1551659
James Michael McAdoo,980431
James Webb,65000
James Young,1825200
JaMychal Green,980431
Jared Dudley,10470000
Jared Sullinger,5628000
Jarell Eddie,277898
Jarell Martin,1286160
Jarnell Stokes,150000
Jarrett Jack,1571705
Jarrod Uthoff,129920
Jason Smith,5000000
Jason Terry,1551659
Jason Thompson,893333
JaVale McGee,1403611
Jaylen Brown,4743000
Jeff Green,15000000
Jeff Teague,8000000
Jeff Withey,1015696
Jerami Grant,980431
Jeremy Evans,1227286
Jeremy Lamb,7000000
Jeremy Lin,11483254
Jerian Grant,1643040
Jerryd Bayless,9424084
Jimmy Butler,17552209
JJ Redick,7377500
Joakim Noah,17000000
Jodie Meeks,6540000
Joe Harris,980431
Joe Ingles,2100000
Joe Johnson,11000000
Joel Anthony,663810
Joel Bolomboy,600000
Joel Embiid,4826160
Joffrey Lauvergne,1709719
John Henson,12267606
John Jenkins,1050961
John Lucas,580344
John Wall,15756438
Johnny O'Bryant,392169
Jon Leuer,10991957
Jonas Jerebko,5000000
Jonas Valanciunas,14382023
Jonathan Gibson,671346
Jonathon Simmons,874636
Jordan Adams,1465080
Jordan Clarkson,12500000
Jordan Crawford,234920
Jordan Farmar,82976
Jordan Hill,4000000
Jordan McRae,874636
Jordan Mickey,1223653
Jose Calderon,7708427
Jose Juan Barea,4096950
Joseph Young,1052342
Josh Huestis,1191480
Josh McRoberts,5782450
Josh Richardson,874636
Josh Smith,5331729
JP Tokoto,100000
JR Smith,12800000
Jrue Holiday,11000000
Juan Hernangomez,1987440
Julius Randle,3267120
Julyan Stone,50000
Justin Anderson,1514160
Justin Hamilton,3000000
Justin Holiday,1015696
Justise Winslow,2593440
Jusuf Nurkic,1921320
Kaleb Tarczewski,75000
Karl-Anthony Towns,5960160
Kawhi Leonard,17638063
Kay Felder,543471
Keith Benson,75000
Kelly Olynyk,3094013
Kelly Oubre,2006640
Kemba Walker,12000000
Kenneth Faried,12078652
Kent Bazemore,15730337
Kentavious Caldwell-Pope,3678319
Kevin Durant,26540100
Kevin Garnett,8000000
Kevin Love,21165675
Kevin Martin,3336000
Kevin Seraphin,1800000
Kevon Looney,1182840
Khris Middleton,15200000
KJ McDaniels,3333333
Klay Thompson,16663575
Kosta Koufos,8046500
Kris Dunn,3872520
Kris Humphries,8630000
Kristaps Porzingis,4317720
Kyle Anderson,1192080
Kyle Collinsworth,70000
Kyle Korver,5239437
Kyle Lowry,12000000
Kyle O'Quinn,3918750
Kyle Singler,4837500
Kyle Wiltjer,543471
Kyrie Irving,17638063
Lamar Patterson,242963
LaMarcus Aldridge,20575005
Lance Stephenson,5371672
Lance Thomas,6191000
Langston Galloway,5200000
Larry Nance Jr,1207680
Larry Sanders,5207722
Lavoy Allen,3500000
Leandro Barbosa,4000000
LeBron James,30963450
Livio Jean-Charles,1188840
Louis Amundson,980431
Louis Williams,7000000
Luc Mbah a Moute,2203000
Lucas Nogueira,1921320
Luis Scola,5000000
Luke Babbitt,1227286
Luol Deng,18000000
Malachi Richardson,1439880
Malcolm Brogdon,875000
Malcolm Delaney,2500000
Malik Beasley,1627320
Manny Harris,119493
Manu Ginobili,14000000
Marc Gasol,21165675
Marcelo Huertas,1500000
Marcin Gortat,12000000
Marco Belinelli,6333333
Marcus Georges-Hunt,88936
Marcus Morris,4625000
Marcus Paige,125000
Marcus Smart,3578880
Marcus Thornton,1315448
Mario Hezonja,3909840
Markieff Morris,7400000
Marquese Chriss,2941440
Marreese Speights,1403611
Marshall Plumlee,543471
Martell Webster,2500000
Marvin Williams,12250000
Mason Plumlee,2328530
Matt Barnes,6508351
Matt Costello,50000
Matthew Dellavedova,9607500
Maurice Ndour,543471
Maurice Williams,2194500
Metta World Peace,1551659
Meyers Leonard,9213484
Michael Beasley,1403611
Michael Carter-Williams,3183526
Michael Gbinije,650000
Michael Kidd-Gilchrist,13000000
Mike Conley,26540100
Mike Dunleavy,4837500
Mike Miller,3500000
Mike Muscala,1015696
Mike Scott,3333333
Mike Tobey,138937
Miles Plumlee,12400000
Mindaugas Kuzminskas,2898000
Mirza Teletovic,10500000
Mitch McGary,1526040
Moe Harkless,8988764
Monta Ellis,10763500
Montrezl Harrell,1045000
Myles Turner,2380440
Nate Wolters,50000
Nemanja Bjelica,3800000
Nenê,2898000
Nerlens Noel,4384490
Nick Collison,3750000
Nick Johnson,980431
Nick Young,5443918
Nick Zeisloft,25000
Nicolas Batum,20869566
Nicolas Brussino,543471
Nicolas Laprovittola,204601
Nik Stauskas,2993040
Nikola Jokic,1358500
Nikola Jovanovic,30000
Nikola Mirotic,5782450
Nikola Pekovic,12100000
Nikola Vucevic,11750000
Noah Vonleh,2751360
Norman Powell,874636
Norris Cole,288131
Okaro White,310995
Omer Asik,9904494
Omri Casspi,3149524
Otto Porter,5893981
